ID;Bezeichner;Gehäuse;Stückzahl;Bezeichnung
1;P5,P4;Pin_Header_Straight_1x15_Pitch2.54mm;2;CONN_01X15
2;R5,R3,R4;R_0603;3;1k
3;P2;Pin_Header_Straight_1x03_Pitch2.54mm;1;CONN_01X03
4;P3;Pin_Header_Straight_1x06_Pitch2.54mm;1;CONN_01X06
5;C1;C_0603;1;4.7uF
6;C2,C5;C_0603;2;0.1uF
7;D1,D2;LED_0603;2;LED
8;R1,R2,R6;R_0603;3;10k
9;U1;RAK811_MODULE;1;RAK811
10;P1;rp_sma_plug;1;
11;P6;ipx;1;
12;C6,C7;C_0603;2;22uF
13;SW1;KMR241NG;1;SW_SPST_Small
14;U2;SOT-223;1;AMS1117-3.3
15;C3,C4;C_0603;2;10pF on C3 or C4, depends on used antenna connection
